"----------------------------------
Data Retrieval: Starting
----------------------------------"
"***********
Beginning callset group: 0
***********"
"Processed Record 12 in callset group: 6 | saint-pierre, pm"
"Processed Record 13 in callset group: 6 | muros, es"
"Processed Record 14 in callset group: 6 | churapcha, ru"
"Processed Record 15 in callset group: 6 | pilar, ph"
"Processed Record 16 in callset group: 6 | pangnirtung, ca"
"Skipping Record 17 in callset group: 6 | nizhneyansk, ru NOT FOUND"
"Processed Record 18 in callset group: 6 | sainte-savine, fr"
"Processed Record 19 in callset group: 6 | hamilton, au"
"Processed Record 20 in callset group: 6 | bat khela, pk"
"Processed Record 21 in callset group: 6 | lazarev, ru"
"Processed Record 22 in callset group: 6 | honningsvag, no"
"Processed Record 23 in callset group: 6 | qasigiannguit, gl"
"Processed Record 24 in callset group: 6 | pijijiapan, mx"
"Processed Record 25 in callset group: 6 | cherrapunji, in"
"Processed Record 26 in callset group: 6 | omsk, ru"
"Skipping Record 27 in callset group: 6 | wulanhaote, cn NOT FOUND"
"Processed Record 28 in callset group: 6 | soure, br"
"Processed Record 29 in callset group: 6 | tungor, ru"
"Processed Record 30 in callset group: 6 | nakhon si thammarat, th"
"Processed Record 31 in callset group: 6 | taber, ca"
"Processed Record 32 in callset group: 6 | fare, pf"
"Processed Record 33 in callset group: 6 | whitecourt, ca"
"Processed Record 34 in callset group: 6 | miraflores, co"
"Processed Record 35 in callset group: 6 | half moon bay, us"
"Processed Record 36 in callset group: 6 | dudinka, ru"
"Skipping Record 37 in callset group: 6 | laguna, br NOT FOUND"
"Processed Record 38 in callset group: 6 | riyadh, sa"
"Processed Record 39 in callset group: 6 | kavaratti, in"
"Processed Record 40 in callset group: 6 | nadym, ru"
"Processed Record 41 in callset group: 6 | nokaneng, bw"
"Processed Record 42 in callset group: 6 | rocha, uy"
"Processed Record 43 in callset group: 6 | moron, mn"
"Processed Record 44 in callset group: 6 | mogzon, ru"
"Processed Record 45 in callset group: 6 | tiznit, ma"
"Processed Record 46 in callset group: 6 | sisimiut, gl"
"Processed Record 47 in callset group: 6 | fairbanks, us"
"Processed Record 48 in callset group: 6 | ostrovnoy, ru"
"Processed Record 49 in callset group: 6 | nazarovo, ru"
"Processed Record 50 in callset group: 6 | celestun, mx"
"Processed Record 51 in callset group: 6 | assemini, it"
"Processed Record 52 in callset group: 6 | pombas, cv"
"Skipping Record 53 in callset group: 6 | belushya guba, ru NOT FOUND"
"Processed Record 54 in callset group: 6 | adrar, dz"
"Skipping Record 55 in callset group: 6 | chagda, ru NOT FOUND"
"Processed Record 56 in callset group: 6 | armidale, au"
"Skipping Record 57 in callset group: 6 | kazalinsk, kz NOT FOUND"
"Processed Record 58 in callset group: 6 | whitehorse, ca"
"Processed Record 59 in callset group: 6 | solenzo, bf"
"***********
Beginning callset group: 7
***********"
"Skipping Record 0 in callset group: 7 | kadykchan, ru NOT FOUND"
"Processed Record 1 in callset group: 7 | dubti, et"
"Processed Record 2 in callset group: 7 | ulladulla, au"
"Processed Record 3 in callset group: 7 | vargem grande, br"
"Processed Record 4 in callset group: 7 | inhambane, mz"
"Processed Record 5 in callset group: 7 | marang, my"
"Processed Record 6 in callset group: 7 | matay, eg"
"Processed Record 7 in callset group: 7 | geilo, no"
"Processed Record 8 in callset group: 7 | langsa, id"
"Skipping Record 9 in callset group: 7 | faya, td NOT FOUND"
"Processed Record 10 in callset group: 7 | camacha, pt"
"Processed Record 11 in callset group: 7 | baculin, ph"
"Processed Record 12 in callset group: 7 | zyryanka, ru"
"Processed Record 13 in callset group: 7 | sembe, cg"
"Processed Record 14 in callset group: 7 | innisfail, au"
"Processed Record 15 in callset group: 7 | seybaplaya, mx"
"Processed Record 16 in callset group: 7 | salym, ru"
"Processed Record 17 in callset group: 7 | tura, ru"
"Processed Record 18 in callset group: 7 | englewood, us"
"Processed Record 19 in callset group: 7 | yuanping, cn"
"Skipping Record 20 in callset group: 7 | karamay, cn NOT FOUND"
"Processed Record 21 in callset group: 7 | havre-saint-pierre, ca"
"Processed Record 22 in callset group: 7 | lompoc, us"
"Processed Record 23 in callset group: 7 | jaitaran, in"
"Processed Record 24 in callset group: 7 | norman wells, ca"
"Skipping Record 25 in callset group: 7 | mormugao, in NOT FOUND"
"Processed Record 26 in callset group: 7 | haines junction, ca"
"Skipping Record 27 in callset group: 7 | karaul, ru NOT FOUND"
"Processed Record 28 in callset group: 7 | gumla, in"
"Processed Record 29 in callset group: 7 | agadir, ma"
"Processed Record 30 in callset group: 7 | ponta do sol, pt"
"Processed Record 31 in callset group: 7 | wellington, au"
"Processed Record 32 in callset group: 7 | nola, cf"
"Processed Record 33 in callset group: 7 | price, us"
"Processed Record 34 in callset group: 7 | kloulklubed, pw"
"Processed Record 35 in callset group: 7 | preeceville, ca"
"Processed Record 36 in callset group: 7 | saint-paul, re"
"Processed Record 37 in callset group: 7 | awjilah, ly"
"Processed Record 38 in callset group: 7 | solnechnyy, ru"
"Processed Record 39 in callset group: 7 | noumea, nc"
"Processed Record 40 in callset group: 7 | ossora, ru"
"Processed Record 41 in callset group: 7 | boca do acre, br"
"Processed Record 42 in callset group: 7 | hofn, is"
"Processed Record 43 in callset group: 7 | saint-joseph, re"
"Processed Record 44 in callset group: 7 | flin flon, ca"
"Processed Record 45 in callset group: 7 | ixtapa, mx"
"Processed Record 46 in callset group: 7 | hami, cn"
"Processed Record 47 in callset group: 7 | vanavara, ru"
"Processed Record 48 in callset group: 7 | high rock, bs"
"Processed Record 49 in callset group: 7 | yatou, cn"
"Processed Record 50 in callset group: 7 | kaeo, nz"
"Processed Record 51 in callset group: 7 | machilipatnam, in"
"Processed Record 52 in callset group: 7 | kroya, id"
"Skipping Record 53 in callset group: 7 | riaba, gq NOT FOUND"
"Processed Record 54 in callset group: 7 | sungaipenuh, id"
"Processed Record 55 in callset group: 7 | challapata, bo"
"Processed Record 56 in callset group: 7 | port lincoln, au"
"Processed Record 57 in callset group: 7 | puerto colombia, co"
"Processed Record 58 in callset group: 7 | te anau, nz"
"Processed Record 59 in callset group: 7 | hit, iq"
"***********
Beginning callset group: 8
***********"
"Processed Record 0 in callset group: 8 | pasni, pk"
"Processed Record 1 in callset group: 8 | narrabri, au"
